,Reference,Publisher,Title,Price
692,NOV190753,MARVEL COMICS,IRON MAN 2020 #1 (OF 6),$4.99
693,NOV190988,MARVEL COMICS,ACTS OF VENGEANCE TP AVENGERS,$39.99
694,NOV190996,MARVEL COMICS,ADVENTURES OF X-MEN GN TP TOOTH & CLAW,$9.99
695,NOV190937,MARVEL COMICS,AERO #7,$3.99
696,NOV190965,MARVEL COMICS,AERO TP VOL 01,$17.99
697,NOV190976,MARVEL COMICS,AGE OF CONAN TP VALERIA,$15.99
698,NOV190968,MARVEL COMICS,AGENTS OF ATLAS TP,$15.99
699,NOV190946,MARVEL COMICS,AMAZING FANTASY OMNIBUS HC BRERETON DM VAR NEW PTG,$75.00
700,NOV190945,MARVEL COMICS,AMAZING FANTASY OMNIBUS HC NEW PTG,$75.00
701,NOV190917,MARVEL COMICS,AMAZING MARY JANE #4,$3.99
702,NOV190918,MARVEL COMICS,AMAZING MARY JANE #4 GONZALES VAR,$3.99
703,NOV190900,MARVEL COMICS,AMAZING SPIDER-MAN #347 FACSIMILE EDITION,$3.99
704,NOV191001,MARVEL COMICS,AMAZING SPIDER-MAN #347 POSTER,$8.99
705,NOV190913,MARVEL COMICS,AMAZING SPIDER-MAN #37,$3.99
706,NOV190914,MARVEL COMICS,AMAZING SPIDER-MAN #37 CAMUNCOLI MARVELS X VAR,$3.99
707,NOV190915,MARVEL COMICS,AMAZING SPIDER-MAN #38,$3.99
708,NOV190916,MARVEL COMICS,AMAZING SPIDER-MAN #38 NOTO MARVELS X VAR,$3.99
709,NOV190841,MARVEL COMICS,AMAZING SPIDER-MAN DAILY BUGLE #1 (OF 5),$3.99
710,NOV190844,MARVEL COMICS,AMAZING SPIDER-MAN DAILY BUGLE #1 (OF 5) LUBERA VAR,$3.99
711,NOV190980,MARVEL COMICS,AMAZING SPIDER-MAN EPIC COLL TP SECRET OF PETRIFIED TABLET,$39.99
712,NOV190861,MARVEL COMICS,ATLANTIS ATTACKS #1 (OF 5),$3.99
713,NOV190862,MARVEL COMICS,ATLANTIS ATTACKS #1 (OF 5) RON LIM VAR,$3.99
714,NOV190855,MARVEL COMICS,AVENGERS #29,$3.99
715,NOV190856,MARVEL COMICS,AVENGERS #29 LUPACCHINO MARVELS X VAR,$3.99
716,NOV190857,MARVEL COMICS,AVENGERS #30,$3.99
717,NOV190858,MARVEL COMICS,AVENGERS #30 BROOKS MARVEL X VAR,$3.99
718,NOV190972,MARVEL COMICS,AVENGERS BY JASON AARON TP VOL 05 CHALLENGE OF GHOST RIDERS,$15.99
719,NOV190845,MARVEL COMICS,AVENGERS OF THE WASTELANDS #1 (OF 5),$3.99
720,NOV190846,MARVEL COMICS,AVENGERS OF THE WASTELANDS #1 (OF 5) GARRY BROWN VAR,$3.99
721,NOV190907,MARVEL COMICS,BLACK CAT #8,$3.99
722,NOV190908,MARVEL COMICS,BLACK CAT #8 ANACLETO MARVELS X VAR,$3.99
723,NOV190884,MARVEL COMICS,BLACK PANTHER #20,$3.99
724,NOV190885,MARVEL COMICS,BLACK PANTHER #20 ARTIST VAR,$3.99
725,NOV190985,MARVEL COMICS,BLACK WIDOW EPIC COLLECTION TP BEWARE BLACK WIDOW,$39.99
726,NOV190983,MARVEL COMICS,BLACK WIDOW TP WIDOWMAKER,$39.99
727,NOV190871,MARVEL COMICS,CAPTAIN AMERICA #18,$3.99
728,NOV190872,MARVEL COMICS,CAPTAIN AMERICA #18 KUBERT MARVELS X VAR,$3.99
729,NOV190787,MARVEL COMICS,CAPTAIN AMERICA THE END #1,$4.99
730,NOV190788,MARVEL COMICS,CAPTAIN AMERICA THE END #1 LARSEN VAR,$4.99
731,NOV190878,MARVEL COMICS,CAPTAIN MARVEL #14,$3.99
732,NOV190880,MARVEL COMICS,CAPTAIN MARVEL #14 GARNER MARVELS X VAR,$3.99
733,NOV190879,MARVEL COMICS,CAPTAIN MARVEL #14 INHYUK LEE CONNECTING VAR,$3.99
734,NOV190791,MARVEL COMICS,CAPTAIN MARVEL THE END #1,$4.99
735,NOV190792,MARVEL COMICS,CAPTAIN MARVEL THE END #1 CARNERO VAR,$4.99
736,NOV190943,MARVEL COMICS,CLOAK AND DAGGER OMNIBUS HC VOL 01,$100.00
737,NOV190944,MARVEL COMICS,CLOAK AND DAGGER OMNIBUS HC VOL 01 DM VAR,$100.00
738,NOV190929,MARVEL COMICS,CONAN SERPENT WAR #3 (OF 4),$3.99
739,NOV190930,MARVEL COMICS,CONAN SERPENT WAR #3 (OF 4) CAMUNCOLI CONNECTING VAR,$3.99
740,NOV190933,MARVEL COMICS,CONAN SERPENT WAR #4 (OF 4),$4.99
741,NOV190935,MARVEL COMICS,CONAN SERPENT WAR #4 (OF 4) CAMUNCOLI CONNECTING VAR,$4.99
742,NOV190962,MARVEL COMICS,DAWN OF X TP VOL 01,$24.99
743,NOV190888,MARVEL COMICS,DEADPOOL #3,$3.99
744,NOV190889,MARVEL COMICS,DEADPOOL #3 YARDIN MARVELS X VAR,$3.99
745,NOV190789,MARVEL COMICS,DEADPOOL THE END #1,$4.99
746,NOV190790,MARVEL COMICS,DEADPOOL THE END #1 ESPIN VAR,$4.99
747,NOV190974,MARVEL COMICS,DEATHS HEAD TP FREELANCE PEACEKEEPING AGENT,$39.99
748,NOV191002,MARVEL COMICS,DOCTOR DOOM #4 POSTER,$8.99
749,NOV190797,MARVEL COMICS,DOCTOR STRANGE THE END #1,$4.99
750,NOV190798,MARVEL COMICS,DOCTOR STRANGE THE END #1 ANDRADE VAR,$4.99
751,NOV190874,MARVEL COMICS,DR STRANGE #2,$3.99
752,NOV190876,MARVEL COMICS,DR STRANGE #2 VATINE MARVELS X VAR,$3.99
753,NOV190956,MARVEL COMICS,EARTH X TP NEW PTG,$29.99
754,NOV190826,MARVEL COMICS,EXCALIBUR #5 DX,$3.99
755,NOV190827,MARVEL COMICS,EXCALIBUR #5 SLINEY MARVELS X VAR DX,$3.99
756,NOV190829,MARVEL COMICS,EXCALIBUR #6 DX,$3.99
757,NOV190830,MARVEL COMICS,EXCALIBUR #6 MCKONE MARVELS X DX,$3.99
758,NOV190832,MARVEL COMICS,FALLEN ANGELS #5 DX,$3.99
759,NOV190834,MARVEL COMICS,FALLEN ANGELS #6 DX,$3.99
760,NOV190886,MARVEL COMICS,FANTASTIC FOUR #18,$3.99
761,NOV190887,MARVEL COMICS,FANTASTIC FOUR #18 SMALLWOOD MARVELS X VAR,$3.99
762,NOV190839,MARVEL COMICS,FANTASTIC FOUR ANNUAL #6 FACSIMILE EDITION,$4.99
763,NOV190981,MARVEL COMICS,FANTASTIC FOUR EPIC COLLECTION COMING GALACTUS TP NEW PTG,$39.99
764,NOV190990,MARVEL COMICS,FANTASTIC FOUR TP THE END NEW PTG,$15.99
765,NOV190882,MARVEL COMICS,GHOST RIDER #4,$3.99
766,NOV190987,MARVEL COMICS,GHOST RIDER TP BOOK 02 WAR FOR HEAVEN,$34.99
767,NOV190909,MARVEL COMICS,GHOST-SPIDER #6,$3.99
768,NOV190967,MARVEL COMICS,GHOST-SPIDER TP,$15.99
769,NOV190742,MARVEL COMICS,GUARDIANS OF THE GALAXY #1,$4.99
770,NOV190751,MARVEL COMICS,GUARDIANS OF THE GALAXY #1 BLANK VAR,$4.99
771,NOV190998,MARVEL COMICS,GUARDIANS OF THE GALAXY #1 POSTER,$8.99
772,NOV190745,MARVEL COMICS,GUARDIANS OF THE GALAXY #1 RON LIM VAR,$4.99
773,NOV190744,MARVEL COMICS,GUARDIANS OF THE GALAXY #1 SHAVRIN VAR,$4.99
774,NOV190749,MARVEL COMICS,GUARDIANS OF THE GALAXY #1 SKAN MARVELS X VAR,$4.99
775,NOV190947,MARVEL COMICS,GUARDIANS OF THE GALAXY HC SOMEBODYS GOT TO MARVEL SELECT,$24.99
776,NOV190963,MARVEL COMICS,GUARDIANS OF THE GALAXY TP VOL 02 FAITHLESS,$24.99
777,NOV190971,MARVEL COMICS,GWENPOOL STRIKES BACK TP,$15.99
778,NOV190859,MARVEL COMICS,HAWKEYE FREE FALL #2,$3.99
779,NOV190960,MARVEL COMICS,HISTORY OF MARVEL UNIVERSE TREASURY EDITION TP,$29.99
780,NOV190961,MARVEL COMICS,HISTORY OF MARVEL UNIVERSE TREASURY EDITION TP DM VAR,$29.99
781,NOV190991,MARVEL COMICS,HULK TP THE END NEW PTG,$17.99
782,NOV190865,MARVEL COMICS,IMMORTAL HULK #29,$3.99
783,NOV190866,MARVEL COMICS,IMMORTAL HULK #29 BRADSHAW MARVELS X VAR,$3.99
784,NOV190869,MARVEL COMICS,IMMORTAL HULK #30,$3.99
785,NOV190870,MARVEL COMICS,IMMORTAL HULK #30 DEL MUNDO MARVELS X VAR,$3.99
786,NOV190867,MARVEL COMICS,IMMORTAL HULK GREAT POWER #1,$4.99
787,NOV190868,MARVEL COMICS,IMMORTAL HULK GREAT POWER #1 FIUMARA VAR,$4.99
788,NOV190959,MARVEL COMICS,IMMORTAL HULK HC VOL 02,$34.99
789,NOV190838,MARVEL COMICS,INCREDIBLE HULK #180 FACSIMILE EDITION,$3.99
790,NOV190754,MARVEL COMICS,IRON MAN 2020 #1 (OF 6) BIANCHI CONNECTING VAR,$4.99
791,NOV190756,MARVEL COMICS,IRON MAN 2020 #1 (OF 6) RON LIM VAR,$4.99
792,NOV190755,MARVEL COMICS,IRON MAN 2020 #1 (OF 6) SUPERLOG HEADS VAR,$4.99
793,NOV190762,MARVEL COMICS,IRON MAN 2020 #1 (OF 6) WARD MARVELS X VAR,$4.99
794,NOV190997,MARVEL COMICS,IRON MAN 2020 POSTER,$8.99
795,NOV190992,MARVEL COMICS,IRON MAN TP THE END NEW PTG,$17.99
796,NOV190851,MARVEL COMICS,JESSICA JONES BLIND SPOT #1 (OF 6),$3.99
797,NOV190852,MARVEL COMICS,JESSICA JONES BLIND SPOT #1 (OF 6) SIMMONDS VAR,$3.99
798,NOV190853,MARVEL COMICS,JESSICA JONES BLIND SPOT #2 (OF 6),$3.99
799,NOV190854,MARVEL COMICS,JESSICA JONES BLIND SPOT #2 (OF 6) SIMMONDS VAR,$3.99
800,NOV190926,MARVEL COMICS,MAGNIFICENT MS MARVEL #11,$3.99
801,NOV190819,MARVEL COMICS,MARAUDERS #6 DX,$3.99
802,NOV190975,MARVEL COMICS,MARVEL MONOGRAPH TP ART OF ARTHUR ADAMS,$19.99
803,NOV190002,MARVEL COMICS,MARVEL PREVIEWS VOL 04 #30 JANUARY 2020 EXTRAS,$1.25
804,NOV190779,MARVEL COMICS,MARVEL TALES RAVENCROFT #1,$7.99
805,NOV190919,MARVEL COMICS,MARVELS AVENGERS THOR #1,$3.99
806,NOV190920,MARVEL COMICS,MARVELS AVENGERS THOR #1 RON LIM VAR,$3.99
807,NOV190881,MARVEL COMICS,MARVELS BLACK WIDOW PRELUDE #1 (OF 2),$3.99
808,NOV190922,MARVEL COMICS,MARVELS SPIDER-MAN BLACK CAT STRIKES #1 (OF 5),$3.99
809,NOV190924,MARVEL COMICS,MARVELS SPIDER-MAN BLACK CAT STRIKES #1 (OF 5) NAUCK VAR,$3.99
810,NOV190806,MARVEL COMICS,MARVELS X #1 (OF 6),$4.99
811,NOV190995,MARVEL COMICS,MILES MORALES GN TP GREAT RESPONSIBILITY,$12.99
812,NOV190793,MARVEL COMICS,MILES MORALES THE END #1,$4.99
813,NOV190794,MARVEL COMICS,MILES MORALES THE END #1 SCOTT VAR,$4.99
814,NOV190949,MARVEL COMICS,MMW SPECTACULAR SPIDER-MAN HC VOL 03,$75.00
815,NOV190950,MARVEL COMICS,MMW SPECTACULAR SPIDER-MAN HC VOL 03 DM VAR ED 290,$75.00
816,NOV190892,MARVEL COMICS,MORBIUS #3,$3.99
817,NOV190893,MARVEL COMICS,MORBIUS #3 RYP CONNECTING VAR,$3.99
818,NOV190952,MARVEL COMICS,MORBIUS LIVING VAMPIRE OMNIBUS HC,$100.00
819,NOV190953,MARVEL COMICS,MORBIUS LIVING VAMPIRE OMNIBUS HC DM VAR,$100.00
820,NOV190815,MARVEL COMICS,NEW MUTANTS #5 DX,$3.99
821,NOV190817,MARVEL COMICS,NEW MUTANTS #6 DX,$3.99
822,NOV190970,MARVEL COMICS,OLD MAN QUILL TP VOL 02,$17.99
823,NOV190741,MARVEL COMICS,OPT IN FOR GUARDIANS OF THE GALAXY #1,$0.01
824,NOV190752,MARVEL COMICS,OPT IN FOR IRON MAN 2020 #1 LAUNCH PARTY,$0.01
825,NOV190805,MARVEL COMICS,OPT IN FOR MARVELS X #1 LAUNCH PARTY,$0.01
826,NOV190979,MARVEL COMICS,PUNISHER EPIC COLLECTION TP JIGSAW PUZZLE,$39.99
827,NOV190774,MARVEL COMICS,RAVENCROFT #1 (OF 5),$3.99
828,NOV190776,MARVEL COMICS,RAVENCROFT #1 (OF 5) JACINTO VAR,$3.99
829,NOV190764,MARVEL COMICS,REVENGE OF COSMIC GHOST RIDER #2 (OF 5),$3.99
830,NOV190765,MARVEL COMICS,REVENGE OF COSMIC GHOST RIDER #2 (OF 5) LUBERA VAR,$3.99
831,NOV190767,MARVEL COMICS,REVENGE OF COSMIC GHOST RIDER #2 (OF 5) RON LIM VAR,$3.99
832,NOV190768,MARVEL COMICS,RUINS OF RAVENCROFT CARNAGE #1,$4.99
833,NOV190769,MARVEL COMICS,RUINS OF RAVENCROFT CARNAGE #1 OLIVETTI VAR,$4.99
834,NOV190772,MARVEL COMICS,RUINS OF RAVENCROFT DRACULA #1,$4.99
835,NOV190773,MARVEL COMICS,RUINS OF RAVENCROFT DRACULA #1 LAND VAR,$4.99
836,NOV190770,MARVEL COMICS,RUINS OF RAVENCROFT SABRETOOTH #1,$4.99
837,NOV190771,MARVEL COMICS,RUINS OF RAVENCROFT SABRETOOTH #1 SUAYAN VAR,$4.99
838,NOV190927,MARVEL COMICS,RUNAWAYS #29,$3.99
839,NOV190873,MARVEL COMICS,SAVAGE AVENGERS #9,$3.99
840,NOV190954,MARVEL COMICS,SAVAGE SWORD CONAN ORIG MARVEL YRS OMNIBUS HC VOL 03 (MR),$125.00
841,NOV190955,MARVEL COMICS,SAVAGE SWORD CONAN ORIG MARVEL YRS OMNIBUS HC VOL 03 DM VAR,$125.00
842,NOV190905,MARVEL COMICS,SCREAM CURSE OF CARNAGE #3,$3.99
843,NOV190898,MARVEL COMICS,SPIDER-HAM #2 (OF 5),$3.99
844,NOV190899,MARVEL COMICS,SPIDER-HAM #2 (OF 5) BRADSHAW VAR,$3.99
845,NOV190910,MARVEL COMICS,SPIDER-MAN #5 (OF 5),$3.99
846,NOV190911,MARVEL COMICS,SPIDER-MAN #5 (OF 5) RODRIGUEZ MARVELS X VAR,$3.99
847,NOV190969,MARVEL COMICS,SPIDER-MAN VELOCITY TP,$15.99
848,NOV190799,MARVEL COMICS,STAR #1 (OF 5),$3.99
849,NOV190800,MARVEL COMICS,STAR #1 (OF 5) JS CAMPBELL VAR,$3.99
850,NOV191000,MARVEL COMICS,STAR #1 POSTER,$8.99
851,NOV190938,MARVEL COMICS,STAR WARS #2,$3.99
852,NOV190940,MARVEL COMICS,STAR WARS #2 SPROUSE EMPIRE STRIKES BACK VAR,$3.99
853,NOV190977,MARVEL COMICS,STAR WARS DARTH VADER POSTER BOOK TP,$24.99
854,NOV190978,MARVEL COMICS,STAR WARS DOCTOR APHRA TP VOL 07 ROGUES END,$15.99
855,NOV190941,MARVEL COMICS,STAR WARS RISE KYLO REN #2 (OF 4),$3.99
856,NOV190951,MARVEL COMICS,STERANKO IS REVOLUTIONARY KING-SIZE HC,$100.00
857,NOV190877,MARVEL COMICS,STRIKEFORCE #5,$3.99
858,NOV190966,MARVEL COMICS,SWORD MASTER TP VOL 01,$17.99
859,NOV190894,MARVEL COMICS,SYMBIOTE SPIDER-MAN ALIEN REALITY #2 (OF 5),$3.99
860,NOV190897,MARVEL COMICS,SYMBIOTE SPIDER-MAN ALIEN REALITY #2 (OF 5) BAGLEY VAR,$3.99
861,NOV190895,MARVEL COMICS,SYMBIOTE SPIDER-MAN ALIEN REALITY #2 (OF 5) RON LIM VAR,$3.99
862,NOV190896,MARVEL COMICS,SYMBIOTE SPIDER-MAN ALIEN REALITY #2 (OF 5) SAVIUK VAR,$3.99
863,NOV190973,MARVEL COMICS,TALES THROUGH MARVEL UNIVERSE TP,$24.99
864,NOV190848,MARVEL COMICS,TAROT #2 (OF 4),$4.99
865,NOV190849,MARVEL COMICS,TAROT #2 (OF 4) DAVIS VAR,$4.99
866,NOV190984,MARVEL COMICS,TASKMASTER TP ANYTHING YOU CAN DO,$34.99
867,NOV190999,MARVEL COMICS,THOR #1 COIPEL POSTER,$8.99
868,NOV190738,MARVEL COMICS,THOR #2,$3.99
869,NOV190740,MARVEL COMICS,THOR #2 KLEIN DESIGN VAR,$3.99
870,NOV190993,MARVEL COMICS,THOR BY JASON AARON COMPLETE COLLECTION TP VOL 02,$39.99
871,NOV190948,MARVEL COMICS,THOR BY JASON AARON HC VOL 04,$34.99
872,NOV190785,MARVEL COMICS,TRUE BELIEVERS CRIMINALLY INSANE ABSORBING MAN #1,$1.00
873,NOV190777,MARVEL COMICS,TRUE BELIEVERS CRIMINALLY INSANE BUSHMAN #1,$1.00
874,NOV190783,MARVEL COMICS,TRUE BELIEVERS CRIMINALLY INSANE DRACULA #1,$1.00
875,NOV190782,MARVEL COMICS,TRUE BELIEVERS CRIMINALLY INSANE GYPSY MOTH #1,$1.00
876,NOV190786,MARVEL COMICS,TRUE BELIEVERS CRIMINALLY INSANE KLAW #1,$1.00
877,NOV190781,MARVEL COMICS,TRUE BELIEVERS CRIMINALLY INSANE MANDARIN #1,$1.00
878,NOV190778,MARVEL COMICS,TRUE BELIEVERS CRIMINALLY INSANE MASTERS OF EVIL #1,$1.00
879,NOV190784,MARVEL COMICS,TRUE BELIEVERS CRIMINALLY INSANE PURPLE MAN #1,$1.00
880,NOV190994,MARVEL COMICS,UNCANNY X-MEN BY GILLEN COMPLETE COLLECTION VOL 02,$39.99
881,NOV190957,MARVEL COMICS,UNCANNY X-MEN OMNIBUS HC VOL 01 NEW PTG,$100.00
882,NOV190958,MARVEL COMICS,UNCANNY X-MEN OMNIBUS HC VOL 01 WATSON DM VAR NEW PTG,$100.00
883,NOV190890,MARVEL COMICS,VALKYRIE JANE FOSTER #7,$3.99
884,NOV190891,MARVEL COMICS,VALKYRIE JANE FOSTER #7 GARBETT MARVELS X VAR,$3.99
885,NOV190903,MARVEL COMICS,VENOM #22,$3.99
886,NOV190904,MARVEL COMICS,VENOM #22 CHRISTOPHER MARVELS X VAR,$3.99
887,NOV190964,MARVEL COMICS,VENOM BY DONNY CATES TP VOL 03 ABSOLUTE CARNAGE,$15.99
888,NOV190795,MARVEL COMICS,VENOM THE END #1,$4.99
889,NOV190796,MARVEL COMICS,VENOM THE END #1 WARREN VAR,$4.99
890,NOV190836,MARVEL COMICS,WEAPON PLUS WORLD WAR IV,$4.99
891,NOV190837,MARVEL COMICS,WEAPON PLUS WORLD WAR IV SKAN VAR,$4.99
892,NOV190982,MARVEL COMICS,WEB OF BLACK WIDOW TP,$15.99
893,NOV190901,MARVEL COMICS,WEB OF VENOM GOOD SON #1,$4.99
894,NOV190986,MARVEL COMICS,WHAT IF CLASSIC COMPLETE COLLECTION TP VOL 03,$39.99
895,NOV190989,MARVEL COMICS,WOLVERINE TP THE END NEW PTG,$15.99
896,NOV190840,MARVEL COMICS,WOLVERINE VS SABRETOOTH 3D #1,$7.99
897,NOV190821,MARVEL COMICS,X-FORCE #5 DX,$3.99
898,NOV190822,MARVEL COMICS,X-FORCE #5 MARVELS X VAR DX,$3.99
899,NOV190824,MARVEL COMICS,X-FORCE #6 DX,$3.99
900,NOV190812,MARVEL COMICS,X-MEN #6 DX,$3.99
901,NOV190813,MARVEL COMICS,X-MEN #6 MARVELS X VAR DX,$3.99
902,NOV190928,MARVEL COMICS,YONDU #4 (OF 5),$3.99
